DDL Definition,.Name,.DBTypeName,.Nullable,.DecimalSize,.Length,.ScanType
t_0 bigint,t_0,,-,-,-,interface {}
t_1 bit,t_1,,-,-,-,interface {}
t_2 decimal,t_2,,-,-,-,interface {}
t_3 decimal (8),t_3,,-,-,-,interface {}
"t_4 decimal (8,4)",t_4,,-,-,-,interface {}
t_5 int,t_5,,-,-,-,interface {}
t_6 numeric,t_6,,-,-,-,interface {}
t_7 numeric (8),t_7,,-,-,-,interface {}
"t_8 numeric (8,4)",t_8,,-,-,-,interface {}
t_9 smallint,t_9,,-,-,-,interface {}
t_10 tinyint,t_10,,-,-,-,interface {}
t_11 float,t_11,,-,-,-,interface {}
t_12 float (10),t_12,,-,-,-,interface {}
t_13 float (30),t_13,,-,-,-,interface {}
t_14 real,t_14,,-,-,-,interface {}
t_15 date,t_15,,-,-,-,interface {}
t_16 datetime2,t_16,,-,-,-,interface {}
t_17 datetime,t_17,,-,-,-,interface {}
t_18 datetimeoffset,t_18,,-,-,-,interface {}
t_19 smalldatetime,t_19,,-,-,-,interface {}
t_20 time,t_20,,-,-,-,interface {}
t_21 char,t_21,,-,-,-,interface {}
t_22 char (8),t_22,,-,-,-,interface {}
t_23 text,t_23,,-,-,-,interface {}
t_24 varchar,t_24,,-,-,-,interface {}
t_25 varchar (8),t_25,,-,-,-,interface {}
t_26 varchar (max),t_26,,-,-,-,interface {}
t_27 nchar,t_27,,-,-,-,interface {}
t_28 nchar (8),t_28,,-,-,-,interface {}
t_29 ntext,t_29,,-,-,-,interface {}
t_30 nvarchar,t_30,,-,-,-,interface {}
t_31 nvarchar (8),t_31,,-,-,-,interface {}
t_32 nvarchar (max),t_32,,-,-,-,interface {}
t_33 binary,t_33,,-,-,-,interface {}
t_34 image,t_34,,-,-,-,interface {}
t_35 varbinary,t_35,,-,-,-,interface {}
t_36 rowversion,t_36,,-,-,-,interface {}
t_37 uniqueidentifier,t_37,,-,-,-,interface {}
t_38 xml,t_38,,-,-,-,interface {}
t_39 bigint NOT NULL,t_39,,-,-,-,interface {}
t_40 bit NOT NULL,t_40,,-,-,-,interface {}
t_41 decimal NOT NULL,t_41,,-,-,-,interface {}
t_42 decimal (8) NOT NULL,t_42,,-,-,-,interface {}
"t_43 decimal (8,4) NOT NULL",t_43,,-,-,-,interface {}
t_44 int NOT NULL,t_44,,-,-,-,interface {}
t_45 numeric NOT NULL,t_45,,-,-,-,interface {}
t_46 numeric (8) NOT NULL,t_46,,-,-,-,interface {}
"t_47 numeric (8,4) NOT NULL",t_47,,-,-,-,interface {}
t_48 smallint NOT NULL,t_48,,-,-,-,interface {}
t_49 tinyint NOT NULL,t_49,,-,-,-,interface {}
t_50 float NOT NULL,t_50,,-,-,-,interface {}
t_51 float (10) NOT NULL,t_51,,-,-,-,interface {}
t_52 float (30) NOT NULL,t_52,,-,-,-,interface {}
t_53 real NOT NULL,t_53,,-,-,-,interface {}
t_54 date NOT NULL,t_54,,-,-,-,interface {}
t_55 datetime2 NOT NULL,t_55,,-,-,-,interface {}
t_56 datetime NOT NULL,t_56,,-,-,-,interface {}
t_57 datetimeoffset NOT NULL,t_57,,-,-,-,interface {}
t_58 smalldatetime NOT NULL,t_58,,-,-,-,interface {}
t_59 time NOT NULL,t_59,,-,-,-,interface {}
t_60 char NOT NULL,t_60,,-,-,-,interface {}
t_61 char (8) NOT NULL,t_61,,-,-,-,interface {}
t_62 text NOT NULL,t_62,,-,-,-,interface {}
t_63 varchar NOT NULL,t_63,,-,-,-,interface {}
t_64 varchar (8) NOT NULL,t_64,,-,-,-,interface {}
t_65 varchar (max) NOT NULL,t_65,,-,-,-,interface {}
t_66 nchar NOT NULL,t_66,,-,-,-,interface {}
t_67 nchar (8) NOT NULL,t_67,,-,-,-,interface {}
t_68 ntext NOT NULL,t_68,,-,-,-,interface {}
t_69 nvarchar NOT NULL,t_69,,-,-,-,interface {}
t_70 nvarchar (8) NOT NULL,t_70,,-,-,-,interface {}
t_71 nvarchar (max) NOT NULL,t_71,,-,-,-,interface {}
t_72 binary NOT NULL,t_72,,-,-,-,interface {}
t_73 image NOT NULL,t_73,,-,-,-,interface {}
t_74 varbinary NOT NULL,t_74,,-,-,-,interface {}
t_75 uniqueidentifier NOT NULL,t_75,,-,-,-,interface {}
t_76 xml NOT NULL,t_76,,-,-,-,interface {}
