DDL Definition,.Name,.DBTypeName,.Nullable,.DecimalSize,.Length,.ScanType
t_0 CHAR,T_0,CHAR,true,-,1,string
t_1 CHAR (8),T_1,CHAR,true,-,8,string
t_2 VARCHAR2 (8),T_2,VARCHAR2,true,-,8,string
t_3 NCHAR,T_3,NCHAR,true,-,4,string
t_4 NCHAR (8),T_4,NCHAR,true,-,32,string
t_5 NVARCHAR2 (8),T_5,NVARCHAR2,true,-,32,string
t_6 DATE,T_6,DATE,true,-,-,time.Time
t_7 TIMESTAMP,T_7,TIMESTAMP,true,-,-,time.Time
t_8 TIMESTAMP WITH TIME ZONE,T_8,TIMESTAMP WITH TIMEZONE,true,-,-,time.Time
t_9 INTERVAL YEAR TO MONTH,T_9,INTERVAL YEAR TO MONTH,true,-,-,string
t_10 INTERVAL DAY TO SECOND,T_10,INTERVAL DAY TO SECOND,true,-,-,time.Duration
t_11 BLOB,T_11,BLOB,true,-,MaxInt64,[]uint8
t_12 CLOB,T_12,CLOB,true,-,MaxInt64,string
t_13 CLOB,T_13,CLOB,true,-,MaxInt64,string
t_14 BFILE,T_14,BFILE,true,-,MaxInt64,[]uint8
t_15 RAW (8),T_15,RAW,true,-,-,[]uint8
t_16 NUMBER,T_16,NUMBER,true,"(0,-127)",-,goracle.Number
t_17 NUMBER (8),T_17,NUMBER,true,"(8,0)",-,int64
"t_18 NUMBER (8,4)",T_18,NUMBER,true,"(8,4)",-,goracle.Number
t_19 FLOAT,T_19,NUMBER,true,"(126,-127)",-,goracle.Number
t_20 FLOAT (30),T_20,NUMBER,true,"(30,-127)",-,goracle.Number
t_21 BINARY_FLOAT,T_21,FLOAT,true,-,-,float32
t_22 BINARY_DOUBLE,T_22,DOUBLE,true,-,-,float64
t_23 CHAR NOT NULL,T_23,CHAR,false,-,1,string
t_24 CHAR (8) NOT NULL,T_24,CHAR,false,-,8,string
t_25 VARCHAR2 (8) NOT NULL,T_25,VARCHAR2,false,-,8,string
t_26 NCHAR NOT NULL,T_26,NCHAR,false,-,4,string
t_27 NCHAR (8) NOT NULL,T_27,NCHAR,false,-,32,string
t_28 NVARCHAR2 (8) NOT NULL,T_28,NVARCHAR2,false,-,32,string
t_29 DATE NOT NULL,T_29,DATE,false,-,-,time.Time
t_30 TIMESTAMP NOT NULL,T_30,TIMESTAMP,false,-,-,time.Time
t_31 TIMESTAMP WITH TIME ZONE NOT NULL,T_31,TIMESTAMP WITH TIMEZONE,false,-,-,time.Time
t_32 INTERVAL YEAR TO MONTH NOT NULL,T_32,INTERVAL YEAR TO MONTH,false,-,-,string
t_33 INTERVAL DAY TO SECOND NOT NULL,T_33,INTERVAL DAY TO SECOND,false,-,-,time.Duration
t_34 BLOB NOT NULL,T_34,BLOB,false,-,MaxInt64,[]uint8
t_35 CLOB NOT NULL,T_35,CLOB,false,-,MaxInt64,string
t_36 CLOB NOT NULL,T_36,CLOB,false,-,MaxInt64,string
t_37 BFILE NOT NULL,T_37,BFILE,false,-,MaxInt64,[]uint8
t_38 RAW (8) NOT NULL,T_38,RAW,false,-,-,[]uint8
t_39 NUMBER NOT NULL,T_39,NUMBER,false,"(0,-127)",-,goracle.Number
t_40 NUMBER (8) NOT NULL,T_40,NUMBER,false,"(8,0)",-,int64
"t_41 NUMBER (8,4) NOT NULL",T_41,NUMBER,false,"(8,4)",-,goracle.Number
t_42 FLOAT NOT NULL,T_42,NUMBER,false,"(126,-127)",-,goracle.Number
t_43 FLOAT (30) NOT NULL,T_43,NUMBER,false,"(30,-127)",-,goracle.Number
t_44 BINARY_FLOAT NOT NULL,T_44,FLOAT,false,-,-,float32
t_45 BINARY_DOUBLE NOT NULL,T_45,DOUBLE,false,-,-,float64
