DDL Definition,.Name,.DBTypeName,.Nullable,.DecimalSize,.Length,.ScanType
t_0 bigint,t_0,,-,-,-,interface {}
t_1 int8,t_1,,-,-,-,interface {}
t_2 bigserial,t_2,,-,-,-,interface {}
t_3 bit,t_3,,-,-,-,interface {}
t_4 bit (8),t_4,,-,-,-,interface {}
t_5 bit varying,t_5,,-,-,-,interface {}
t_6 bit varying (8),t_6,,-,-,-,interface {}
t_7 varbit,t_7,,-,-,-,interface {}
t_8 varbit (8),t_8,,-,-,-,interface {}
t_9 boolean,t_9,,-,-,-,interface {}
t_10 bool,t_10,,-,-,-,interface {}
t_11 box,t_11,,-,-,-,interface {}
t_12 bytea,t_12,,-,-,-,interface {}
t_13 character,t_13,,-,-,-,interface {}
t_14 character (8),t_14,,-,-,-,interface {}
t_15 char,t_15,,-,-,-,interface {}
t_16 char (8),t_16,,-,-,-,interface {}
t_17 character varying,t_17,,-,-,-,interface {}
t_18 character varying (8),t_18,,-,-,-,interface {}
t_19 varchar,t_19,,-,-,-,interface {}
t_20 varchar (8),t_20,,-,-,-,interface {}
t_21 cidr,t_21,,-,-,-,interface {}
t_22 circle,t_22,,-,-,-,interface {}
t_23 date,t_23,,-,-,-,interface {}
t_24 double precision,t_24,,-,-,-,interface {}
t_25 float8,t_25,,-,-,-,interface {}
t_26 inet,t_26,,-,-,-,interface {}
t_27 integer,t_27,,-,-,-,interface {}
t_28 int,t_28,,-,-,-,interface {}
t_29 int4,t_29,,-,-,-,interface {}
t_30 interval,t_30,,-,-,-,interface {}
t_31 json,t_31,,-,-,-,interface {}
t_32 jsonb,t_32,,-,-,-,interface {}
t_33 line,t_33,,-,-,-,interface {}
t_34 lseg,t_34,,-,-,-,interface {}
t_35 macaddr,t_35,,-,-,-,interface {}
t_36 money,t_36,,-,-,-,interface {}
t_37 numeric,t_37,,-,-,-,interface {}
"t_38 numeric (8,4)",t_38,,-,-,-,interface {}
t_39 decimal,t_39,,-,-,-,interface {}
"t_40 decimal (8,4)",t_40,,-,-,-,interface {}
t_41 path,t_41,,-,-,-,interface {}
t_42 pg_lsn,t_42,,-,-,-,interface {}
t_43 point,t_43,,-,-,-,interface {}
t_44 polygon,t_44,,-,-,-,interface {}
t_45 real,t_45,,-,-,-,interface {}
t_46 float4,t_46,,-,-,-,interface {}
t_47 smallint,t_47,,-,-,-,interface {}
t_48 int2,t_48,,-,-,-,interface {}
t_49 smallserial,t_49,,-,-,-,interface {}
t_50 serial2,t_50,,-,-,-,interface {}
t_51 serial,t_51,,-,-,-,interface {}
t_52 serial4,t_52,,-,-,-,interface {}
t_53 text,t_53,,-,-,-,interface {}
t_54 time,t_54,,-,-,-,interface {}
t_55 time with time zone,t_55,,-,-,-,interface {}
t_56 timetz,t_56,,-,-,-,interface {}
t_57 timestamp,t_57,,-,-,-,interface {}
t_58 timestamp with time zone,t_58,,-,-,-,interface {}
t_59 timestamptz,t_59,,-,-,-,interface {}
t_60 tsquery,t_60,,-,-,-,interface {}
t_61 tsvector,t_61,,-,-,-,interface {}
t_62 txid_snapshot,t_62,,-,-,-,interface {}
t_63 uuid,t_63,,-,-,-,interface {}
t_64 xml,t_64,,-,-,-,interface {}
t_65 bigint NOT NULL,t_65,,-,-,-,interface {}
t_66 int8 NOT NULL,t_66,,-,-,-,interface {}
t_67 bigserial NOT NULL,t_67,,-,-,-,interface {}
t_68 bit NOT NULL,t_68,,-,-,-,interface {}
t_69 bit (8) NOT NULL,t_69,,-,-,-,interface {}
t_70 bit varying NOT NULL,t_70,,-,-,-,interface {}
t_71 bit varying (8) NOT NULL,t_71,,-,-,-,interface {}
t_72 varbit NOT NULL,t_72,,-,-,-,interface {}
t_73 varbit (8) NOT NULL,t_73,,-,-,-,interface {}
t_74 boolean NOT NULL,t_74,,-,-,-,interface {}
t_75 bool NOT NULL,t_75,,-,-,-,interface {}
t_76 box NOT NULL,t_76,,-,-,-,interface {}
t_77 bytea NOT NULL,t_77,,-,-,-,interface {}
t_78 character NOT NULL,t_78,,-,-,-,interface {}
t_79 character (8) NOT NULL,t_79,,-,-,-,interface {}
t_80 char NOT NULL,t_80,,-,-,-,interface {}
t_81 char (8) NOT NULL,t_81,,-,-,-,interface {}
t_82 character varying NOT NULL,t_82,,-,-,-,interface {}
t_83 character varying (8) NOT NULL,t_83,,-,-,-,interface {}
t_84 varchar NOT NULL,t_84,,-,-,-,interface {}
t_85 varchar (8) NOT NULL,t_85,,-,-,-,interface {}
t_86 cidr NOT NULL,t_86,,-,-,-,interface {}
t_87 circle NOT NULL,t_87,,-,-,-,interface {}
t_88 date NOT NULL,t_88,,-,-,-,interface {}
t_89 double precision NOT NULL,t_89,,-,-,-,interface {}
t_90 float8 NOT NULL,t_90,,-,-,-,interface {}
t_91 inet NOT NULL,t_91,,-,-,-,interface {}
t_92 integer NOT NULL,t_92,,-,-,-,interface {}
t_93 int NOT NULL,t_93,,-,-,-,interface {}
t_94 int4 NOT NULL,t_94,,-,-,-,interface {}
t_95 interval NOT NULL,t_95,,-,-,-,interface {}
t_96 json NOT NULL,t_96,,-,-,-,interface {}
t_97 jsonb NOT NULL,t_97,,-,-,-,interface {}
t_98 line NOT NULL,t_98,,-,-,-,interface {}
t_99 lseg NOT NULL,t_99,,-,-,-,interface {}
t_100 macaddr NOT NULL,t_100,,-,-,-,interface {}
t_101 money NOT NULL,t_101,,-,-,-,interface {}
t_102 numeric NOT NULL,t_102,,-,-,-,interface {}
"t_103 numeric (8,4) NOT NULL",t_103,,-,-,-,interface {}
t_104 decimal NOT NULL,t_104,,-,-,-,interface {}
"t_105 decimal (8,4) NOT NULL",t_105,,-,-,-,interface {}
t_106 path NOT NULL,t_106,,-,-,-,interface {}
t_107 pg_lsn NOT NULL,t_107,,-,-,-,interface {}
t_108 point NOT NULL,t_108,,-,-,-,interface {}
t_109 polygon NOT NULL,t_109,,-,-,-,interface {}
t_110 real NOT NULL,t_110,,-,-,-,interface {}
t_111 float4 NOT NULL,t_111,,-,-,-,interface {}
t_112 smallint NOT NULL,t_112,,-,-,-,interface {}
t_113 int2 NOT NULL,t_113,,-,-,-,interface {}
t_114 smallserial NOT NULL,t_114,,-,-,-,interface {}
t_115 serial2 NOT NULL,t_115,,-,-,-,interface {}
t_116 serial NOT NULL,t_116,,-,-,-,interface {}
t_117 serial4 NOT NULL,t_117,,-,-,-,interface {}
t_118 text NOT NULL,t_118,,-,-,-,interface {}
t_119 time NOT NULL,t_119,,-,-,-,interface {}
t_120 time with time zone NOT NULL,t_120,,-,-,-,interface {}
t_121 timetz NOT NULL,t_121,,-,-,-,interface {}
t_122 timestamp NOT NULL,t_122,,-,-,-,interface {}
t_123 timestamp with time zone NOT NULL,t_123,,-,-,-,interface {}
t_124 timestamptz NOT NULL,t_124,,-,-,-,interface {}
t_125 tsquery NOT NULL,t_125,,-,-,-,interface {}
t_126 tsvector NOT NULL,t_126,,-,-,-,interface {}
t_127 txid_snapshot NOT NULL,t_127,,-,-,-,interface {}
t_128 uuid NOT NULL,t_128,,-,-,-,interface {}
t_129 xml NOT NULL,t_129,,-,-,-,interface {}
