DDL Definition,.Name,.DBTypeName,.Nullable,.DecimalSize,.Length,.ScanType
t_0 bigint,t_0,INT8,-,-,-,int64
t_1 int8,t_1,INT8,-,-,-,int64
t_2 bigserial,t_2,INT8,-,-,-,int64
t_3 bit,t_3,BIT,-,-,-,interface {}
t_4 bit (8),t_4,BIT,-,-,-,interface {}
t_5 bit varying,t_5,VARBIT,-,-,-,interface {}
t_6 bit varying (8),t_6,VARBIT,-,-,-,interface {}
t_7 varbit,t_7,VARBIT,-,-,-,interface {}
t_8 varbit (8),t_8,VARBIT,-,-,-,interface {}
t_9 boolean,t_9,BOOL,-,-,-,bool
t_10 bool,t_10,BOOL,-,-,-,bool
t_11 box,t_11,BOX,-,-,-,interface {}
t_12 bytea,t_12,BYTEA,-,-,MaxInt64,[]uint8
t_13 character,t_13,BPCHAR,-,-,1,interface {}
t_14 character (8),t_14,BPCHAR,-,-,8,interface {}
t_15 char,t_15,BPCHAR,-,-,1,interface {}
t_16 char (8),t_16,BPCHAR,-,-,8,interface {}
t_17 character varying,t_17,VARCHAR,-,-,-5,string
t_18 character varying (8),t_18,VARCHAR,-,-,8,string
t_19 varchar,t_19,VARCHAR,-,-,-5,string
t_20 varchar (8),t_20,VARCHAR,-,-,8,string
t_21 cidr,t_21,CIDR,-,-,-,interface {}
t_22 circle,t_22,CIRCLE,-,-,-,interface {}
t_23 date,t_23,DATE,-,-,-,time.Time
t_24 double precision,t_24,FLOAT8,-,-,-,interface {}
t_25 float8,t_25,FLOAT8,-,-,-,interface {}
t_26 inet,t_26,INET,-,-,-,interface {}
t_27 integer,t_27,INT4,-,-,-,int32
t_28 int,t_28,INT4,-,-,-,int32
t_29 int4,t_29,INT4,-,-,-,int32
t_30 interval,t_30,INTERVAL,-,-,-,interface {}
t_31 json,t_31,JSON,-,-,-,interface {}
t_32 jsonb,t_32,JSONB,-,-,-,interface {}
t_33 line,t_33,LINE,-,-,-,interface {}
t_34 lseg,t_34,LSEG,-,-,-,interface {}
t_35 macaddr,t_35,MACADDR,-,-,-,interface {}
t_36 money,t_36,MONEY,-,-,-,interface {}
t_37 numeric,t_37,NUMERIC,-,"(65535,65531)",-,interface {}
"t_38 numeric (8,4)",t_38,NUMERIC,-,"(8,4)",-,interface {}
t_39 decimal,t_39,NUMERIC,-,"(65535,65531)",-,interface {}
"t_40 decimal (8,4)",t_40,NUMERIC,-,"(8,4)",-,interface {}
t_41 path,t_41,PATH,-,-,-,interface {}
t_42 pg_lsn,t_42,PG_LSN,-,-,-,interface {}
t_43 point,t_43,POINT,-,-,-,interface {}
t_44 polygon,t_44,POLYGON,-,-,-,interface {}
t_45 real,t_45,FLOAT4,-,-,-,interface {}
t_46 float4,t_46,FLOAT4,-,-,-,interface {}
t_47 smallint,t_47,INT2,-,-,-,int16
t_48 int2,t_48,INT2,-,-,-,int16
t_49 smallserial,t_49,INT2,-,-,-,int16
t_50 serial2,t_50,INT2,-,-,-,int16
t_51 serial,t_51,INT4,-,-,-,int32
t_52 serial4,t_52,INT4,-,-,-,int32
t_53 text,t_53,TEXT,-,-,MaxInt64,string
t_54 time,t_54,TIME,-,-,-,time.Time
t_55 time with time zone,t_55,TIMETZ,-,-,-,time.Time
t_56 timetz,t_56,TIMETZ,-,-,-,time.Time
t_57 timestamp,t_57,TIMESTAMP,-,-,-,time.Time
t_58 timestamp with time zone,t_58,TIMESTAMPTZ,-,-,-,time.Time
t_59 timestamptz,t_59,TIMESTAMPTZ,-,-,-,time.Time
t_60 tsquery,t_60,TSQUERY,-,-,-,interface {}
t_61 tsvector,t_61,TSVECTOR,-,-,-,interface {}
t_62 txid_snapshot,t_62,TXID_SNAPSHOT,-,-,-,interface {}
t_63 uuid,t_63,UUID,-,-,-,interface {}
t_64 xml,t_64,XML,-,-,-,interface {}
t_65 bigint NOT NULL,t_65,INT8,-,-,-,int64
t_66 int8 NOT NULL,t_66,INT8,-,-,-,int64
t_67 bigserial NOT NULL,t_67,INT8,-,-,-,int64
t_68 bit NOT NULL,t_68,BIT,-,-,-,interface {}
t_69 bit (8) NOT NULL,t_69,BIT,-,-,-,interface {}
t_70 bit varying NOT NULL,t_70,VARBIT,-,-,-,interface {}
t_71 bit varying (8) NOT NULL,t_71,VARBIT,-,-,-,interface {}
t_72 varbit NOT NULL,t_72,VARBIT,-,-,-,interface {}
t_73 varbit (8) NOT NULL,t_73,VARBIT,-,-,-,interface {}
t_74 boolean NOT NULL,t_74,BOOL,-,-,-,bool
t_75 bool NOT NULL,t_75,BOOL,-,-,-,bool
t_76 box NOT NULL,t_76,BOX,-,-,-,interface {}
t_77 bytea NOT NULL,t_77,BYTEA,-,-,MaxInt64,[]uint8
t_78 character NOT NULL,t_78,BPCHAR,-,-,1,interface {}
t_79 character (8) NOT NULL,t_79,BPCHAR,-,-,8,interface {}
t_80 char NOT NULL,t_80,BPCHAR,-,-,1,interface {}
t_81 char (8) NOT NULL,t_81,BPCHAR,-,-,8,interface {}
t_82 character varying NOT NULL,t_82,VARCHAR,-,-,-5,string
t_83 character varying (8) NOT NULL,t_83,VARCHAR,-,-,8,string
t_84 varchar NOT NULL,t_84,VARCHAR,-,-,-5,string
t_85 varchar (8) NOT NULL,t_85,VARCHAR,-,-,8,string
t_86 cidr NOT NULL,t_86,CIDR,-,-,-,interface {}
t_87 circle NOT NULL,t_87,CIRCLE,-,-,-,interface {}
t_88 date NOT NULL,t_88,DATE,-,-,-,time.Time
t_89 double precision NOT NULL,t_89,FLOAT8,-,-,-,interface {}
t_90 float8 NOT NULL,t_90,FLOAT8,-,-,-,interface {}
t_91 inet NOT NULL,t_91,INET,-,-,-,interface {}
t_92 integer NOT NULL,t_92,INT4,-,-,-,int32
t_93 int NOT NULL,t_93,INT4,-,-,-,int32
t_94 int4 NOT NULL,t_94,INT4,-,-,-,int32
t_95 interval NOT NULL,t_95,INTERVAL,-,-,-,interface {}
t_96 json NOT NULL,t_96,JSON,-,-,-,interface {}
t_97 jsonb NOT NULL,t_97,JSONB,-,-,-,interface {}
t_98 line NOT NULL,t_98,LINE,-,-,-,interface {}
t_99 lseg NOT NULL,t_99,LSEG,-,-,-,interface {}
t_100 macaddr NOT NULL,t_100,MACADDR,-,-,-,interface {}
t_101 money NOT NULL,t_101,MONEY,-,-,-,interface {}
t_102 numeric NOT NULL,t_102,NUMERIC,-,"(65535,65531)",-,interface {}
"t_103 numeric (8,4) NOT NULL",t_103,NUMERIC,-,"(8,4)",-,interface {}
t_104 decimal NOT NULL,t_104,NUMERIC,-,"(65535,65531)",-,interface {}
"t_105 decimal (8,4) NOT NULL",t_105,NUMERIC,-,"(8,4)",-,interface {}
t_106 path NOT NULL,t_106,PATH,-,-,-,interface {}
t_107 pg_lsn NOT NULL,t_107,PG_LSN,-,-,-,interface {}
t_108 point NOT NULL,t_108,POINT,-,-,-,interface {}
t_109 polygon NOT NULL,t_109,POLYGON,-,-,-,interface {}
t_110 real NOT NULL,t_110,FLOAT4,-,-,-,interface {}
t_111 float4 NOT NULL,t_111,FLOAT4,-,-,-,interface {}
t_112 smallint NOT NULL,t_112,INT2,-,-,-,int16
t_113 int2 NOT NULL,t_113,INT2,-,-,-,int16
t_114 smallserial NOT NULL,t_114,INT2,-,-,-,int16
t_115 serial2 NOT NULL,t_115,INT2,-,-,-,int16
t_116 serial NOT NULL,t_116,INT4,-,-,-,int32
t_117 serial4 NOT NULL,t_117,INT4,-,-,-,int32
t_118 text NOT NULL,t_118,TEXT,-,-,MaxInt64,string
t_119 time NOT NULL,t_119,TIME,-,-,-,time.Time
t_120 time with time zone NOT NULL,t_120,TIMETZ,-,-,-,time.Time
t_121 timetz NOT NULL,t_121,TIMETZ,-,-,-,time.Time
t_122 timestamp NOT NULL,t_122,TIMESTAMP,-,-,-,time.Time
t_123 timestamp with time zone NOT NULL,t_123,TIMESTAMPTZ,-,-,-,time.Time
t_124 timestamptz NOT NULL,t_124,TIMESTAMPTZ,-,-,-,time.Time
t_125 tsquery NOT NULL,t_125,TSQUERY,-,-,-,interface {}
t_126 tsvector NOT NULL,t_126,TSVECTOR,-,-,-,interface {}
t_127 txid_snapshot NOT NULL,t_127,TXID_SNAPSHOT,-,-,-,interface {}
t_128 uuid NOT NULL,t_128,UUID,-,-,-,interface {}
t_129 xml NOT NULL,t_129,XML,-,-,-,interface {}
