DDL Definition,.Name,.DBTypeName,.Nullable,.DecimalSize,.Length,.ScanType
t_0 INT,t_0,INT,-,-,-,nil
t_1 INTEGER,t_1,INTEGER,-,-,-,nil
t_2 TINYINT,t_2,TINYINT,-,-,-,nil
t_3 SMALLINT,t_3,SMALLINT,-,-,-,nil
t_4 MEDIUMINT,t_4,MEDIUMINT,-,-,-,nil
t_5 BIGINT,t_5,BIGINT,-,-,-,nil
t_6 UNSIGNED BIG INT,t_6,UNSIGNED BIG INT,-,-,-,nil
t_7 INT2,t_7,INT2,-,-,-,nil
t_8 INT8,t_8,INT8,-,-,-,nil
t_9 CHARACTER,t_9,CHARACTER,-,-,-,nil
t_10 CHARACTER (8),t_10,CHARACTER (8),-,-,-,nil
t_11 VARCHAR,t_11,VARCHAR,-,-,-,nil
t_12 VARCHAR (8),t_12,VARCHAR (8),-,-,-,nil
t_13 VARYING CHARACTER,t_13,VARYING CHARACTER,-,-,-,nil
t_14 VARYING CHARACTER (8),t_14,VARYING CHARACTER (8),-,-,-,nil
t_15 NCHAR,t_15,NCHAR,-,-,-,nil
t_16 NCHAR (55),t_16,NCHAR (55),-,-,-,nil
t_17 NATIVE CHARACTER,t_17,NATIVE CHARACTER,-,-,-,nil
t_18 NATIVE CHARACTER (8),t_18,NATIVE CHARACTER (8),-,-,-,nil
t_19 NVARCHAR,t_19,NVARCHAR,-,-,-,nil
t_20 NVARCHAR (8),t_20,NVARCHAR (8),-,-,-,nil
t_21 TEXT,t_21,TEXT,-,-,-,nil
t_22 CLOB,t_22,CLOB,-,-,-,nil
t_23 BLOB,t_23,BLOB,-,-,-,nil
t_24 REAL,t_24,REAL,-,-,-,nil
t_25 DOUBLE,t_25,DOUBLE,-,-,-,nil
t_26 DOUBLE PRECISION,t_26,DOUBLE PRECISION,-,-,-,nil
t_27 FLOAT,t_27,FLOAT,-,-,-,nil
t_28 NUMERIC,t_28,NUMERIC,-,-,-,nil
"t_29 DECIMAL (10,5)",t_29,"DECIMAL (10,5)",-,-,-,nil
t_30 BOOLEAN,t_30,BOOLEAN,-,-,-,nil
t_31 DATE,t_31,DATE,-,-,-,nil
t_32 DATETIME,t_32,DATETIME,-,-,-,nil
t_33 INT NOT NULL,t_33,INT,-,-,-,nil
t_34 INTEGER NOT NULL,t_34,INTEGER,-,-,-,nil
t_35 TINYINT NOT NULL,t_35,TINYINT,-,-,-,nil
t_36 SMALLINT NOT NULL,t_36,SMALLINT,-,-,-,nil
t_37 MEDIUMINT NOT NULL,t_37,MEDIUMINT,-,-,-,nil
t_38 BIGINT NOT NULL,t_38,BIGINT,-,-,-,nil
t_39 UNSIGNED BIG INT NOT NULL,t_39,UNSIGNED BIG INT,-,-,-,nil
t_40 INT2 NOT NULL,t_40,INT2,-,-,-,nil
t_41 INT8 NOT NULL,t_41,INT8,-,-,-,nil
t_42 CHARACTER NOT NULL,t_42,CHARACTER,-,-,-,nil
t_43 CHARACTER (8) NOT NULL,t_43,CHARACTER (8),-,-,-,nil
t_44 VARCHAR NOT NULL,t_44,VARCHAR,-,-,-,nil
t_45 VARCHAR (8) NOT NULL,t_45,VARCHAR (8),-,-,-,nil
t_46 VARYING CHARACTER NOT NULL,t_46,VARYING CHARACTER,-,-,-,nil
t_47 VARYING CHARACTER (8) NOT NULL,t_47,VARYING CHARACTER (8),-,-,-,nil
t_48 NCHAR NOT NULL,t_48,NCHAR,-,-,-,nil
t_49 NCHAR (55) NOT NULL,t_49,NCHAR (55),-,-,-,nil
t_50 NATIVE CHARACTER NOT NULL,t_50,NATIVE CHARACTER,-,-,-,nil
t_51 NATIVE CHARACTER (8) NOT NULL,t_51,NATIVE CHARACTER (8),-,-,-,nil
t_52 NVARCHAR NOT NULL,t_52,NVARCHAR,-,-,-,nil
t_53 NVARCHAR (8) NOT NULL,t_53,NVARCHAR (8),-,-,-,nil
t_54 TEXT NOT NULL,t_54,TEXT,-,-,-,nil
t_55 CLOB NOT NULL,t_55,CLOB,-,-,-,nil
t_56 BLOB NOT NULL,t_56,BLOB,-,-,-,nil
t_57 REAL NOT NULL,t_57,REAL,-,-,-,nil
t_58 DOUBLE NOT NULL,t_58,DOUBLE,-,-,-,nil
t_59 DOUBLE PRECISION NOT NULL,t_59,DOUBLE PRECISION,-,-,-,nil
t_60 FLOAT NOT NULL,t_60,FLOAT,-,-,-,nil
t_61 NUMERIC NOT NULL,t_61,NUMERIC,-,-,-,nil
"t_62 DECIMAL (10,5) NOT NULL",t_62,"DECIMAL (10,5)",-,-,-,nil
t_63 BOOLEAN NOT NULL,t_63,BOOLEAN,-,-,-,nil
t_64 DATE NOT NULL,t_64,DATE,-,-,-,nil
t_65 DATETIME NOT NULL,t_65,DATETIME,-,-,-,nil
